Date,Open,High,Low,Close,Volume,symbol,Quote_Volume,Number_Of_Trades,funding_Rate,fetch_fear_greed,active_addresses,hash_rate,tx_count,miners_revenue,google_interest,time_frame,pct_change,log_return,Close_norm,sentiment_mix
2025-07-01,656.99,659.2,643.65,646.11,291724.16,BNB,189716681.8595,473313,0.0,64.0,,956568711.0781472,452266.1142857143,54394042.38259282,65,1d,,,0.0,64.4
2025-07-02,646.12,664.88,643.5,659.97,382879.99,BNB,251987600.2254,561589,0.0,63.0,,889547992.701345,366147.0,52803407.75673417,62,1d,2.145145563448958,0.021224611517316593,0.020976798389659945,62.599999999999994
2025-07-03,659.96,665.0,656.56,663.9,307349.05,BNB,203221196.9954,528793,0.0,73.0,,956568711.0781472,452266.1142857143,54394042.38259282,61,1d,0.5954816128005636,0.005937156283185957,0.02692476503261539,68.2
2025-07-04,663.9,664.4,650.08,653.39,287088.14,BNB,188473224.4027,498467,0.0,73.0,,956568711.0781472,452266.1142857143,54394042.38259282,59,1d,-1.5830697394185855,-0.015957341236018954,0.01101811632588194,67.4
2025-07-05,653.38,656.76,651.72,655.99,151159.11,BNB,98945860.5766,300244,0.0,67.0,,912804149.3732756,427456.0,53453223.3439726,61,1d,0.3979246697990435,0.0039713504363658135,0.014953157870839824,64.6
2025-07-06,656.0,664.89,653.22,663.12,285320.92,BNB,188388629.3189,407785,0.0,66.0,,956568711.0781472,452266.1142857143,54394042.38259282,69,1d,1.0869068126038606,0.01081042435781033,0.025744252569128077,67.2
2025-07-07,663.12,663.2,656.5,661.04,240143.07,BNB,158667964.046,402066,0.0,73.0,,956568711.0781472,452266.1142857143,54394042.38259282,75,1d,-0.3136687175775199,-0.0031416168903419437,0.022596219333161735,73.8
2025-07-08,661.05,662.64,657.24,660.52,262127.28,BNB,172981340.612,408104,0.0,65.0,,825593561.8535358,354753.0,49375267.19171441,68,1d,-0.07866392351445484,-0.0007869487981412619,0.021809211024170192,66.2
2025-07-09,660.52,671.94,658.41,668.88,369372.61,BNB,245361947.3828,492907,0.0,66.0,,956568711.0781472,452266.1142857143,54394042.38259282,63,1d,1.26566947253679,0.012577268247014883,0.03446188306872699,64.80000000000001
2025-07-10,668.89,688.13,667.12,686.3,523184.88,BNB,353542616.0569,610078,0.0,71.0,,956568711.0781472,452266.1142857143,54394042.38259282,62,1d,2.6043535462265233,0.025710178072786475,0.06082666141994453,67.4
2025-07-11,686.3,697.78,683.01,690.4,686984.04,BNB,474213336.1737,864131,0.0,71.0,,872105875.197397,408758.0,55661378.16508856,63,1d,0.5974063820486597,0.00595628985462914,0.06703191924083964,67.80000000000001
2025-07-12,690.4,697.38,679.47,686.1,373521.41,BNB,257258216.1861,599527,7.15e-06,79.0,,956568711.0781472,452266.1142857143,54394042.38259282,58,1d,-0.6228273464658152,-0.006247750072373025,0.06052396591648633,70.6
2025-07-13,686.1,694.47,685.3,692.33,256169.77,BNB,176975050.4151,423622,0.0,74.0,,956568711.0781472,452266.1142857143,54394042.38259282,67,1d,0.9080308992858166,0.009039330863072105,0.06995293084921228,71.2
2025-07-14,692.33,708.0,686.01,689.11,697502.14,BNB,487195509.1551,870788,3.146666666666667e-05,74.0,,910161831.228891,457360.0,56958970.224478096,75,1d,-0.4650961246804308,-0.004661810620144555,0.06507953324353367,74.4
2025-07-15,689.1,693.54,675.0,690.37,543593.97,BNB,371190744.9191,789443,0.0,73.0,,956568711.0781472,452266.1142857143,54394042.38259282,69,1d,0.18284453860777372,0.0018267758146497913,0.06698651491532093,71.4
2025-07-16,690.37,715.99,685.43,709.13,636689.7,BNB,446629640.8687,814517,0.0,70.0,,956568711.0781472,452266.1142857143,54394042.38259282,65,1d,2.717383432072662,0.02681118081051466,0.09537935313970909,68.0
2025-07-17,709.13,728.4,707.08,721.11,1062916.76,BNB,763266406.8725,1240569,1.5606666666666667e-05,74.0,,853669027.9112357,433844.0,51923875.82709622,78,1d,1.6893940462256563,0.01675282496374279,0.11351081379686107,75.6
2025-07-18,721.1,766.26,718.91,730.39,1413209.2,BNB,1046980638.2837,1657987,7.661333333333334e-05,73.0,,956568711.0781472,452266.1142857143,54394042.38259282,65,1d,1.2869049104852204,0.012786946530205458,0.12755588515732597,69.8
2025-07-19,730.39,742.94,718.95,733.43,565705.53,BNB,414300782.5972,812932,0.0,74.0,,956568711.0781472,452266.1142857143,54394042.38259282,66,1d,0.41621599419487953,0.004153522113977172,0.132156856809892,70.8
2025-07-20,733.43,762.04,731.67,757.31,698636.07,BNB,523447640.8821,871688,4.036666666666666e-06,72.0,,935269743.8145156,414919.0,55345444.39756341,78,1d,3.255934445004982,0.03204052066628134,0.16829869992281257,74.4
2025-07-21,757.32,782.76,746.29,766.51,952173.7,BNB,729467661.2871,1188121,5.445333333333333e-05,71.0,,956568711.0781472,452266.1142857143,54394042.38259282,79,1d,1.2148261610172906,0.012075063702038742,0.18222269308189426,74.2
2025-07-22,766.52,789.48,745.0,787.6,1005296.57,BNB,768618588.919,1226574,3.550666666666667e-05,72.0,,956568711.0781472,452266.1142857143,54394042.38259282,75,1d,2.7514318143272876,0.027142602223788018,0.21414193392157163,73.19999999999999
2025-07-23,787.6,810.55,752.5,776.92,2174747.27,BNB,1711879462.6428,2011391,0.0001722733333333,74.0,,878776940.4968604,366826.0,52375243.84070549,77,1d,-1.3560182833925905,-0.01365296180103844,0.19797799403689853,75.2
2025-07-24,776.88,786.93,742.61,771.15,1153929.43,BNB,886952287.7546,1360600,1.3026666666666668e-05,71.0,,956568711.0781472,452266.1142857143,54394042.38259282,67,1d,-0.7426762086186423,-0.007454477794308678,0.1892452287621267,69.4
2025-07-25,771.16,786.5,752.26,785.98,862077.9,BNB,661954107.5462,1167666,6.030000000000001e-06,70.0,,956568711.0781472,452266.1142857143,54394042.38259282,63,1d,1.923101860857157,0.019048439643225334,0.21169010034355942,67.2
2025-07-26,785.98,799.0,778.81,793.61,403647.62,BNB,317546794.1377,570799,4.816666666666666e-05,72.0,,970032969.1338756,573275.0,57613130.504926935,62,1d,0.970762614824805,0.009660809884876428,0.22323793380049342,68.0
2025-07-27,793.57,848.0,791.16,844.8,1093029.43,BNB,894441073.0569,1167215,7.479e-05,73.0,,956568711.0781472,452266.1142857143,54394042.38259282,70,1d,6.450271543957342,0.06250775625427171,0.30071284791064423,71.8
2025-07-28,844.71,861.76,821.0,824.48,1679579.1,BNB,1416705718.916,1686366,0.0001168766666666,75.0,,956568711.0781472,452266.1142857143,54394042.38259282,81,1d,-2.4053030303030187,-0.024347028372082767,0.26995898475928143,77.4
2025-07-29,824.48,835.67,800.61,805.82,1312874.32,BNB,1075229358.1071,1465168,4.581666666666667e-05,73.0,,710531240.0792824,350960.0,44261671.20515351,75,1d,-2.2632447118183574,-0.02289249207607558,0.24171749428662245,73.8
2025-07-30,805.82,812.28,765.79,794.07,1163545.13,BNB,920807585.8055,1363708,5.6176666666666674e-05,74.0,,956568711.0781472,452266.1142857143,54394042.38259282,74,1d,-1.4581420168275794,-0.01468877393360582,0.22393413345844757,74.0
2025-07-31,794.08,815.0,782.01,783.68,1043932.17,BNB,835235471.6306,1228528,2.659e-05,72.0,,956568711.0781472,452266.1142857143,54394042.38259282,70,1d,-1.3084488773030256,-0.013170844806429986,0.20820910205378892,71.19999999999999
2025-08-01,783.67,795.88,745.0,757.64,1271585.32,BNB,978358648.9532,1670439,1.885e-05,65.0,,957948368.3211752,400385.0,56353797.87732009,64,1d,-3.322784810126578,-0.033792434975262055,0.16879814750351882,64.6
2025-08-02,757.64,770.47,732.82,736.97,726171.5,BNB,544793276.2116,1045574,3.263333333333333e-06,55.0,,956568711.0781472,452266.1142857143,54394042.38259282,67,1d,-2.728208647906649,-0.02766115299079167,0.13751456722110397,59.8
2025-08-03,736.97,755.68,730.43,751.41,408193.71,BNB,304844640.8956,689400,1.2256666666666667e-05,53.0,,956568711.0781472,452266.1142857143,54394042.38259282,71,1d,1.9593741943362497,0.019404255744379234,0.15936918257079286,60.2
2025-08-04,751.4,770.0,750.56,768.89,484047.2,BNB,368238123.4518,685042,0.0,64.0,,1084828946.9067616,443301.0,63216750.855126135,75,1d,2.326293235384136,0.022996474819028362,0.18582476957304797,68.4
2025-08-05,768.89,770.04,745.41,755.57,523867.46,BNB,396145526.2799,842228,0.0,60.0,,956568711.0781472,452266.1142857143,54394042.38259282,72,1d,-1.732367438775373,-0.017475485068859264,0.16566524904272556,64.8
2025-08-06,755.56,775.39,746.39,769.94,492368.17,BNB,375572955.6254,812440,1.0896666666666668e-05,54.0,,956568711.0781472,452266.1142857143,54394042.38259282,75,1d,1.901875405323139,0.018840158441427054,0.18741392096620413,62.4
2025-08-07,769.94,788.99,764.78,788.99,552539.95,BNB,428060533.0196,830342,1.39e-05,62.0,,1021388657.6139684,565200.0,59669628.45612645,68,1d,2.47421877029379,0.02444105676060097,0.21624566767060677,64.4
2025-08-08,788.99,799.0,781.1,793.71,556718.36,BNB,439509213.2365,925693,0.0,74.0,,956568711.0781472,452266.1142857143,54394042.38259282,73,1d,0.5982331841975164,0.005964508741983198,0.2233892815522226,73.6
2025-08-09,793.72,819.86,792.89,799.16,614720.66,BNB,496416264.9633,875928,1.8336666666666667e-05,67.0,,956568711.0781472,452266.1142857143,54394042.38259282,70,1d,0.6866487760013085,0.006843020795439344,0.23163773402146107,68.19999999999999
2025-08-10,799.17,816.04,794.02,807.65,467219.66,BNB,375977895.7249,841683,1.0926666666666668e-05,69.0,,868625162.1369333,400467.0,51005043.20194832,82,1d,1.0623654837579544,0.010567620328018976,0.24448715814326577,74.2
2025-08-11,807.65,828.22,791.1,805.26,950416.12,BNB,769288960.3034,1360958,4.767e-05,70.0,,956568711.0781472,452266.1142857143,54394042.38259282,80,1d,-0.29592026248993486,-0.002963589721997455,0.24086994687693913,74.0
2025-08-12,805.25,840.66,797.7,833.05,790002.06,BNB,646512163.3567,1054315,0.0,68.0,,956568711.0781472,452266.1142857143,54394042.38259282,80,1d,3.451059285199798,0.03392845773730807,0.28292948708246934,72.8
2025-08-13,833.05,860.0,828.83,848.3,1096958.53,BNB,928505659.4047,1284530,0.00014916,73.0,,1003744631.8026783,441094.0,60045859.57365181,81,1d,1.8306224116199532,0.018140682438611333,0.30601001922116444,76.19999999999999
2025-08-14,848.29,870.15,821.0,840.8,1665514.57,BNB,1412668513.5884,1858654,0.00010111,75.0,,956568711.0781472,452266.1142857143,54394042.38259282,80,1d,-0.8841211835435625,-0.008880527250947741,0.29465893784147834,77.0
2025-08-15,840.77,853.99,812.8,828.0,836007.78,BNB,698141256.1376,1157560,0.0,60.0,,956568711.0781472,452266.1142857143,54394042.38259282,75,1d,-1.5223596574690745,-0.015340665177481652,0.27528642562014743,66.0
2025-08-16,828.0,839.7,825.4,838.97,363568.89,BNB,302900271.4661,632955,0.0,56.0,,978007589.9615842,401706.0,56291249.48949163,78,1d,1.3248792270531329,0.01316179458925799,0.291889273984835,64.80000000000001
2025-08-17,838.98,864.48,838.36,855.96,616676.23,BNB,526757101.1185,824080,1.1466666666666668e-06,64.0,,956568711.0781472,452266.1142857143,54394042.38259282,86,1d,2.025102208660612,0.02004869710342923,0.3176032570036173,72.8
2025-08-18,855.95,859.1,825.19,847.56,830419.81,BNB,697730458.8125,1125457,1.0883333333333331e-05,60.0,,956568711.0781472,452266.1142857143,54394042.38259282,85,1d,-0.981354268891077,-0.009862012869115932,0.3048900458583687,70.0
2025-08-19,847.56,852.6,823.25,824.44,800424.67,BNB,672281191.3455,1152653,0.0,56.0,,862190901.6766596,412417.0,49935656.50295718,84,1d,-2.7278304780782303,-0.027657265233734393,0.26989844565858984,67.2
2025-08-20,824.45,882.0,818.54,869.71,1175724.83,BNB,996677051.4936,1322342,0.0,44.0,,956568711.0781472,452266.1142857143,54394042.38259282,75,1d,5.490999951482212,0.053455454772295054,0.33841357286637513,56.4
2025-08-21,869.72,884.54,833.72,839.78,1099716.52,BNB,942064252.3131,1316390,4.269333333333333e-05,50.0,,956568711.0781472,452266.1142857143,54394042.38259282,68,1d,-3.4413770107277197,-0.035019869974978975,0.293115190773841,57.2
2025-08-22,839.79,901.76,839.52,901.0,1317576.44,BNB,1147131059.7028,1525809,1.6106666666666666e-05,50.0,,939585701.641628,459717.0,53263914.816695295,72,1d,7.290004524994642,0.07036530483592508,0.38577028438242555,58.8
2025-08-23,901.01,901.08,876.42,880.86,822363.38,BNB,730007803.7178,1067088,0.0002099666666666,60.0,,956568711.0781472,452266.1142857143,54394042.38259282,68,1d,-2.2352941176470575,-0.022606554628913936,0.35528884718417514,63.2
2025-08-24,880.87,887.01,860.0,876.9,1039574.68,BNB,906561688.3427,1224068,7.586666666666666e-05,53.0,,956568711.0781472,452266.1142857143,54394042.38259282,74,1d,-0.4495606566310206,-0.0045057421941140305,0.3492954762157008,61.4
2025-08-25,876.91,881.3,832.58,839.63,1153510.17,BNB,991592949.8037,1502604,2.217e-05,47.0,,909080588.918406,482127.0,51120833.63289729,77,1d,-4.250199566655266,-0.04343164217656043,0.2928881691462473,59.0
2025-08-26,839.63,868.33,830.08,864.16,633691.2,BNB,537423039.2395,1010927,9.333333333333332e-07,48.0,,956568711.0781472,452266.1142857143,54394042.38259282,75,1d,2.9215249574217284,0.02879661823583151,0.3300137726454073,58.8
2025-08-27,864.17,867.5,853.41,855.74,490123.02,BNB,422022976.1479,851895,1.6456666666666668e-05,51.0,,956568711.0781472,452266.1142857143,54394042.38259282,63,1d,-0.9743566006295112,-0.009791345158421505,0.3172702919498131,55.8
2025-08-28,855.75,882.21,851.54,873.92,833522.68,BNB,726477780.2207,1056196,6.303e-05,48.0,,1025133430.0569257,575612.0,57745298.99455071,62,1d,2.124477060789487,0.021022246599180668,0.34478531321417216,53.599999999999994
2025-08-29,873.92,878.53,850.56,862.84,673732.09,BNB,580167494.0096,953338,2.2796666666666668e-05,50.0,,956568711.0781472,452266.1142857143,54394042.38259282,62,1d,-1.267850604174292,-0.012759564158824083,0.32801598232258267,54.8
